S,"select AD.MOBILE_NO, C.COMPANY_ABBR, AD.ADJUST_AMT, AD.ADJUST_VALIDITY, AD.ADJUST_STATUS, AD.TRANSPARENT_DATA1, AD.TRANSPARENT_DATA2, AD.BILLING_SYSTEM, PMDB..PM_F_FORMAT_DATE(AD.ADJUST_DTM, 'YYYY-MM-DD') as ADJUST_DTM, PMDB..PM_F_FORMAT_DATE(AD.ADJUST_DATE, 'YYYY-MM-DD') as ADJUST_DATE, AD.FILE_ID, AD.GEN_DOC_TYPE from PMDB..PM_ADJUST_TRANSACTION AD inner join PMDB..PM_FILE_ADJUST F on (AD.FILE_ID = F.FILE_ID) inner join PMDB..PM_COMPANY C on (AD.COMPANY_ID = C.COMPANY_ID) where F.ORDER_ID = @order_id",
F,MOBILE_NO,0819017657
F,COMPANY_ABBR,AWN
F,ADJUST_AMT,100.00
F,ADJUST_VALIDITY,10
F,ADJUST_STATUS,WT
F,TRANSPARENT_DATA1,cPAC
F,TRANSPARENT_DATA2,CAMPAIGN
F,BILLING_SYSTEM,BOS
F,FILE_ID,*
F,GEN_DOC_TYPE,RT
